name,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Oregon,162,2068,6540,425,37927,5730,377,0,135,4218,848,2798,5623,1602,681,802,954,219,765,630,103,1689,1250,1368,10,947,2927,312,3592,0,185,1251,3462,1692,414,852,1350,N/A,1678,62,568,4,1113,4441,3684,298,1582,21339,0,564,680
Pennsylvania,1898,1008,3104,502,13048,1631,4853,6387,1978,19629,7481,1325,183,3996,2276,278,1073,1222,1657,1787,21659,4551,1969,2708,65,1760,15,2007,721,1148,43295,163,46618,7221,697,12752,1975,1004,N/A,850,4742,507,2564,11490,869,1483,12193,2394,3763,942,24
Rhode Island,0,0,423,0,1854,238,2561,16,0,3084,84,0,0,624,150,413,0,148,53,475,243,12742,49,0,49,135,0,17,0,290,1420,51,2359,887,0,441,0,387,1538,N/A,680,0,136,1597,186,428,863,144,83,136,0
South Carolina,873,680,1704,579,7785,1506,2880,595,454,14136,16644,1280,754,4210,1596,871,1043,3545,1721,833,6663,3094,2251,685,546,656,0,205,1087,146,6233,1581,10416,33940,971,5641,812,410,7227,993,N/A,547,4184,7631,548,336,10143,2112,1559,1702,0
South Dakota,339,14,650,141,1778,818,0,0,0,550,436,131,112,1300,771,3613,581,0,0,0,290,0,128,5777,24,445,674,1620,34,116,349,92,0,419,1218,107,374,958,28,0,162,N/A,386,1080,199,0,76,280,0,391,473
Tennessee,6294,1506,1457,5252,11874,4674,740,689,157,21539,12668,522,532,8607,5630,857,1204,11500,1964,339,1744,1109,6548,1215,12011,2492,700,419,2101,297,2382,1094,6594,13551,0,5547,935,1453,1833,399,4872,490,N/A,15068,1240,336,8040,3821,1235,1188,46
Texas,8791,4622,21205,12341,82235,18189,2085,930,711,41238,24209,6977,2836,23747,6244,3306,12823,6239,24513,1212,8660,8277,11061,5949,6316,8085,2136,3842,10529,2098,10319,23425,18078,15838,944,8975,23535,4430,9352,556,9240,1918,9833,N/A,10072,445,18973,15128,1059,4824,1311
Utah,1027,526,6301,888,17821,7856,2830,0,252,2451,668,773,6752,4238,2256,929,552,194,1046,0,1152,545,748,770,168,995,1294,640,4423,222,588,663,2073,1809,147,1455,775,2873,478,572,1295,16,1622,4871,N/A,233,922,4481,322,547,1549
Vermont,77,402,41,0,1048,687,798,0,253,637,285,2,81,670,99,56,0,12,0,565,316,4045,103,56,0,113,0,14,128,2076,799,184,3276,90,0,97,0,152,1401,216,257,0,63,1082,41,N/A,527,413,20,0,30
Virginia,4028,1256,2513,1011,16994,4588,2838,1187,9540,21432,9246,1807,659,6562,2413,1827,973,2619,2609,856,27172,5480,6012,1033,1512,3137,1211,556,2302,655,9511,1468,15618,26435,158,5498,1486,1042,12284,1098,9721,122,5310,13924,1736,1633,N/A,6580,5518,1518,167
Washington,1060,4255,8263,83,46791,6829,3098,0,1510,7925,2611,5855,12599,3829,2244,644,1924,953,1298,864,2017,3526,3703,2378,136,1938,6017,1780,2556,2011,824,1137,6885,1479,904,2897,1383,33712,4833,373,2327,18,3115,18528,5440,391,6656,N/A,275,1456,626
West Virginia,245,192,356,120,940,266,0,127,154,3052,658,256,30,380,178,119,45,1518,0,223,3976,425,316,433,0,361,0,96,64,37,527,0,546,2515,0,4985,117,53,5706,124,2882,0,402,927,0,19,6008,129,N/A,41,0
Wisconsin,678,1070,1917,290,6886,3125,826,0,298,5168,1783,283,93,22402,1951,4289,1421,1468,1167,175,241,584,5307,17524,581,2796,130,872,747,401,331,237,2337,1645,1369,1049,346,639,990,146,948,763,1294,5049,808,0,1878,1682,572,N/A,1417
Wyoming,1227,54,757,298,3211,3129,109,0,0,909,203,33,1792,49,616,23,366,149,201,136,0,100,93,492,0,582,1850,927,2881,473,187,377,389,4,265,97,564,514,447,0,509,1041,116,1696,1746,0,415,885,308,27,N/A
